D-003: Données de Paiement (abonnement premium);;;;;;;;
Fiche fictive: projet portfolio GRC (SantéConnect, PME e-santé fictive). Le niveau de granularité illustre une cible de maturité RGPD, non l'état courant du marché TPE/PME santé;;;;;;;;
Description  du traitement  ;;;;;;;;
Nom du traitement;Données de paiement;;;;;;;
N° / RÉF;D-003;;;;;;;
Date de création du traitement;15/02/2024;;;;;;;
Mise à jour du traitement;15/02/2024;;;;;;;
Date de validation du DPO;20/02/2024;;;;;;;
;;;;;;;;
Acteurs;Nom;Adresse;Code Postal;Ville;Pays;Téléphone;Adresse mél;
Responsable du traitement;DUPONT Martin (CEO);123 allée du bois;‘00000;Fictif;France;‘06060606;m.dupont@santeconnect.fr;
Délégué à la protection des données;PETIT Jeanne;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
Société du DPO (si celui-ci est externe);DPO As A Service;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
;;;;;;;;
Finalité(s) du traitement effectué;;;;;;;;
Finalité principale;Gestion des abonnements premium, incluant collecte des paiements et facturation (execution du contrat et obligation légale) avec séparation des données de santé;;;;;;;
Sous-finalité 1;Collecte des paiements par RIB ou CB;;;;;;;
Sous-finalité 2;Facturation et version aux organismes sociaux;;;;;;;
Sous-finalité 3;Ordre de virement / paiement à la banque;;;;;;;
;;;;;;;;
Catégories de données personnelles concernées;Description;;Durée de conservation;;Base légale;;Historique violation;
État civil, identité, données d'identification, images…;Identité, photo profil (optionnel);;3 ans après fin de l’abonnement;;"Obligation légale + execution du contrat: RGPD art. 6.c et .b
PCI-DSS";;Non;
Informations d'ordre économique et financier (revenus, situation financière, situation fiscale, etc.);Moyen de paiement: RIB ou CB (tokenisé);;3 ans après fin de l’abonnement, dès résiliation abonnement pour les tokens;;"Obligation légale + execution du contrat: RGPD art. 6.c et .b
PCI-DSS";;Non;
;;;;;;;;
;;;;;;;;
Catégories de personnes concernées;Description;;;Précisions;;;;
Catégorie de personnes 1;Clients;;;Clientèle plutôt senior ayant donné un consentement éclairé et à tout moment rétractable pour utilisation du service;;;;
Catégorie de personnes 2;Autres (préciser);;;Aidant si décision justice et/ou accord client (RGPD art 9.2.g ou .a);;;;
;;;;;;;;
Destinataires;Type de destinataire;;;Précisions;;;;
Destinataire 1;Service interne qui traite les données;;;Service Comptabilité pour suivi facturation, paiement (exécution du contrat: RGPD art. 6.b.);;;;
Destinataire 2;Service interne qui traite les données;;;Service IT/Support pour bug lié au module de paiement;;;;
Destinataire 3;Partenaires institutionnels ou commerciaux;;;Organismes sociaux: URSSAF, etc. (obligation légale RGPD art. 6.1.c);;;;
Destinataire 4;Sous-traitants;;;Stripe (situé en U.-E., conformité PCI-DSS, contrat de sous-traitance: RGPD art.28);;;;
Destinataire 5;Sous-traitants;;;Hébergement: OVH (situé en France) pour sauvegarde des données de paiement (contrat de sous-traitance: RGPD art.28);;;;
Destinataire 6;Autres (préciser);;;Banque Coopérative Fictive, basée en France (exécution du contrat RGPD art. 6.1.b);;;;
;;;;;;;;
;;;;;;;;
Mesures de sécurité;Type de mesure de sécurité;;;Précisions;;;;
Mesure de sécurité 1;Chiffrement des données;;;Chiffrement des données en transit (TLS 1.3) et au repos (AES-256);;;;
Mesure de sécurité 2;Contrôle d'accès des utilisateurs;;;2FA, Audit annuel des droits d’accès (RBAC), Journalisation des accès (logs conservés 6 mois, 1 an si incident);;;;
Mesure de sécurité 3;Contrôle des sous-traitants;;;Vérification annuelle de la conformité PCI-DSS Level 1 pour les données de paiement;;;;
Mesure de sécurité 4;Autres mesures (à préciser);;;"Notification à la CNIL sous 72h (Art. 33 RGPD) + information des patients concernés (Art. 34 RGPD)
Notification à Stripe sous 24h (contrat de sous-traitance)";;;;
;;;;;;;;
Transferts hors UE;Destinataire;Pays;Type de Garanties;;Liens vers la documentation;;;
Organisme destinataire 1;Aucun;Sélectionnez un élément dans cette liste déroulante ►;Sélectionnez un élément dans cette liste déroulante ►;;Aucun transfert hors UE. Tous les sous-traitants (hébergement: OVH, paiement: Stripe) sont basés en France ou dans l’UE et sont liés par contrat spécifique de sous-.traitance »;;;
