D-004: Données des Praticiens;;;;;;;;
Fiche fictive: projet portfolio GRC (SantéConnect, PME e-santé fictive). Le niveau de granularité illustre une cible de maturité RGPD, non l'état courant du marché TPE/PME santé;;;;;;;;
Description  du traitement  ;;;;;;;;
Nom du traitement;Données des Praticiens B2B;;;;;;;
N° / RÉF;D-004;;;;;;;
Date de création du traitement;01/03/2024;;;;;;;
Mise à jour du traitement;01/03/2024;;;;;;;
Date de validation du DPO;07/03/2024;;;;;;;
;;;;;;;;
Acteurs;Nom;Adresse;Code Postal;Ville;Pays;Téléphone;Adresse mél;
Responsable du traitement;DUPONT Martin (CEO);123 allée du bois;‘00000;Fictif;France;‘06060606;m.dupont@santeconnect.fr;
Délégué à la protection des données;PETIT Jeanne;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
Société du DPO (si celui-ci est externe);DPO As A Service;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
;;;;;;;;
Finalité(s) du traitement effectué;;;;;;;;
Finalité principale;Identification et gestion des comptes des praticiens sur la plateforme B2B (exécution du contrat: RGPD art. 6.1.b);;;;;;;
Sous-finalité 1;Accès sécurisé à la plateforme pour les praticiens (RGPD art. 6.1.b et 9.2.h);;;;;;;
Sous-finalité 2;Coordination entre praticiens (Intérêt légitime: optimisation des soins, RGPD art. 6.1.f);;;;;;;
;;;;;;;;
Catégories de données personnelles concernées;Description;;Durée de conservation;;Base légale;;Historique violation;
État civil, identité, données d'identification, images…;Identité, photo profil (optionnel), spécialité, coordonnées, numéro RPPS;;3 ans après désactivation compte;;Exécution du contrat (Art. 6.1.b RGPD);;Non;
;;;;;;;;
Catégories de personnes concernées;Description;;;Précisions;;;;
Catégorie de personnes 1;Autres (préciser);;;Médecins, infirmiers, kinés utilisant la plateforme B2B (Contrat avec SantéConnect + accord avec le CHU si applicable.);;;;
;;;;;;;;
Destinataires;Type de destinataire;;;Précisions;;;;
Destinataire 1;Service interne qui traite les données;;;Service Produit (suivi, métrique, accès limité);;;;
Destinataire 2;Service interne qui traite les données;;;Service IT/Support pour maintenance / bug plateforme (accès limité);;;;
Destinataire 5;Sous-traitants;;;Hébergement: OVH (situé en France) pour sauvegarde des données praticiens (contrat de sous-traitance: RGPD art.28);;;;
;;;;;;;;
Mesures de sécurité;Type de mesure de sécurité;;;Précisions;;;;
Mesure de sécurité 1;Chiffrement des données;;;Chiffrement des données en transit (TLS 1.3) et au repos (AES-256);;;;
Mesure de sécurité 2;Contrôle d'accès des utilisateurs;;;2FA, Audit annuel des droits d’accès (RBAC), Journalisation des accès (logs conservés 6 mois, 1 an si incident);;;;
Mesure de sécurité 3;Contrôle des sous-traitants;;;Vérification annuelle de la conformité HDS (pour les données de santé) et RGPD de OVH.;;;;
Mesure de sécurité 4;Autres mesures (à préciser);;;Notification à la CNIL sous 72h (Art. 33 RGPD) + information des praticiens concernés (Art. 34 RGPD);;;;
;;;;;;;;
Transferts hors UE;Destinataire;Pays;Type de Garanties;;Liens vers la documentation;;;
Organisme destinataire 1;Aucun;Sélectionnez un élément dans cette liste déroulante ►;Sélectionnez un élément dans cette liste déroulante ►;;Aucun transfert hors UE. Tous les sous-traitants (OVH) sont basés en France et liés par un contrat de sous-traitance conforme à l’Art. 28 RGPD et à la certification HDS.;;;
