D-007: Gestion RH et Paie;;;;;;;;
Fiche fictive: projet portfolio GRC (SantéConnect, PME e-santé fictive). Le niveau de granularité illustre une cible de maturité RGPD, non l'état courant du marché TPE/PME santé;;;;;;;;
Description  du traitement  ;;;;;;;;
Nom du traitement;Gestion RH et Paie;;;;;;;
N° / RÉF;D-007;;;;;;;
Date de création du traitement;01/02/2024;;;;;;;
Mise à jour du traitement;01/02/2024;;;;;;;
Date de validation du DPO;05/02/2024;;;;;;;
;;;;;;;;
Acteurs;Nom;Adresse;Code Postal;Ville;Pays;Téléphone;Adresse mél;
Responsable du traitement;THOMAS Bernard (DRH);123 allée du bois;‘00000;Fictif;France;‘06060606;b.thomas@santeconnect.fr;
Responsable opérationnel;DUMONT Géraldine (Comptabilité);123 allée du bois;‘00000;Fictif;France;‘06060606;g.dumont@santeconnect.fr;
Délégué à la protection des données;PETIT Jeanne;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
Société du DPO (si celui-ci est externe);DPO As A Service;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
;;;;;;;;
Finalité(s) du traitement effectué;;;;;;;;
Finalité principale;Gestion des ressources humaines et de la paie des salariés de SantéConnect (exécution du contrat: RGPD art. 6.1.b + obligation légale: RGP  art. 6.1.c);;;;;;;
Sous-finalité 1;Signature et gestion des contrats de travail;;;;;;;
Sous-finalité 2;Calcul des rémunérations et versements aux organismes sociaux;;;;;;;
Sous-finalité 3;Résiliation des contrats;;;;;;;
;;;;;;;;
Catégories de données personnelles concernées;Description;;Durée de conservation;;Base légale;;Historique violation;
État civil, identité, données d'identification, images…;Noms, prénoms, adresses;;5 ans à compter du versement de la paie;;Obligation légale employeur + execution du contrat: RGPD art. 6.c et .b;;Non;
Informations d'ordre économique et financier (revenus, situation financière, situation fiscale, etc.);RIB;;5 ans à compter du versement de la paie;;Execution du contrat: RGPD art. 6.c et .b;;Non;
Numéro Sécurité Social;Numéros de sécurité sociale des salariés;;5 ans à compter du versement de la paie;;Obligation légale employeur: RGPD art. 6.c + Donnée à protection renforcée (usage strictement limité aux obligations sociales et fiscales):  loi I&L Art. 25;;Non;
;;;;;;;;
Catégories de personnes concernées;Description;;;Précisions;;;;
Catégorie de personnes 1;Salariés;;;Obligation légale + exécution du contrat;;;;
;;;;;;;;
Destinataires;Type de destinataire;;;Précisions;;;;
Destinataire 1;Service interne qui traite les données;;;Dir. Administrative et Financière (accès restreint (least privilege));;;;
Destinataire 2;Partenaires institutionnels ou commerciaux;;;Organismes sociaux: URSSAF, Pôle Emploi, Retraite (obligation légale RGPD art. 6.1.c);;;;
Destinataire 3;Autre (Préciser);;;Banque Coopérative Fictive, basée en France (exécution du contrat RGPD art. 6.1.b);;;;
;;;;;;;;
Mesures de sécurité;Type de mesure de sécurité;;;Précisions;;;;
Mesure de sécurité 1;Mesure de Protection des Logiciels;;;Antivirus et pare-feu sur les postes RH/Comptabilité. Mises à jour automatiques des logiciels.;;;;
Mesure de sécurité 2;Sauvegarde des Données;;;Sauvegardes quotidiennes chiffrées (AES-256), testées mensuellement. Stockage sur serveurs hébergeur (France).;;;;
Mesure de sécurité 3;Contrôle d’accès des Utilisateurs;;;Accès restreint au service RH et comptabilité (principe du least privilege), Audit annuel des droits d’accès (RBAC);;;;
Mesure de sécurité 4;Autres mesures (à préciser);;;Notification à la CNIL sous 72h (Art. 33 RGPD) + information des salariés concernés (Art. 34 RGPD);;;;
;;;;;;;;
Transferts hors UE;Destinataire;Pays;Type de Garanties;;Liens vers la documentation;;;
Organisme destinataire 1;Aucun;Sélectionnez un élément dans cette liste déroulante ►;Sélectionnez un élément dans cette liste déroulante ►;;Aucun transfert hors UE. Tous les sous-traitants (ex : OVH pour l’hébergement, Banque Coopérative Fictive) sont basés en France ou dans l’UE.;;;
