D-009: Statistiques et R&D;;;;;;;;
Fiche fictive: projet portfolio GRC (SantéConnect, PME e-santé fictive). Le niveau de granularité illustre une cible de maturité RGPD, non l'état courant du marché TPE/PME santé;;;;;;;;
Description  du traitement  ;;;;;;;;
Nom du traitement;Statistiques et R&D;;;;;;;
N° / RÉF;D-009;;;;;;;
Date de création du traitement;10/04/2024;;;;;;;
Mise à jour du traitement;10/04/2024;;;;;;;
Date de validation du DPO;15/04/2024;;;;;;;
;;;;;;;;
Acteurs;Nom;Adresse;Code Postal;Ville;Pays;Téléphone;Adresse mél;
Responsable du traitement;DUPONT Martin (CEO);123 allée du bois;‘00000;Fictif;France;‘06060606;m.dupont@santeconnect.fr;
Délégué à la protection des données;PETIT Jeanne;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
Société du DPO (si celui-ci est externe);DPO As A Service;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
;;;;;;;;
Finalité(s) du traitement effectué;;;;;;;;
Finalité principale;Amélioration du service et analyse statistique des parcours de soins cardiologiques en vue d'extension géographique, sur données agrégées/anonymisées uniquement (RGPD art. 6.1.f + art. 9.2.j);;;;;;;
Sous-finalité 1;Analyse des usages produit (taux d'adhérence, fonctionnalités utilisées) sur données agrégées/anonymisées;;;;;;;
Sous-finalité 2;Statistiques épidémiologiques partagées avec le CHU partenaire (agrégées, sans données individuelles identifiables);;;;;;;
Sous-finalité 3;Amélioration des algorithmes de suivi cardiologique;;;;;;;
;;;;;;;;
Catégories de données personnelles concernées;Description;;Durée de conservation;;Base légale;;Historique violation;
Données pseudonymisées de santé;Parcours de soins, indicateurs cardiologiques, fréquence de consultation (identifiant remplacé par token non réversible sans clé séparée);;3 ans;;RGPD art. 6.1.f + art. 9.2.j;;Non;
Données d’usage;Fréquence de connexion, fonctionnalités utilisées, temps de session (pseudonymisées);;2 ans;;RGPD art 9.2.j;;Non;
;;;;;;;;
Catégories de personnes concernées;Description;;;Précisions;;;;
Catégorie de personnes 1;Clients;;;Patients: indirectement, via données pseudonymisées;;;;
;;;;;;;;
Destinataires;Type de destinataire;;;Précisions;;;;
Destinataire 1;Service interne qui traite les données;;;Service Produit (analyse des usages, accès limité aux agrégats);;;;
Destinataire 2;Partenaires institutionnels ou commerciaux;;;DPO (contrainte agrégation avec k-anonymat (k=5 mini) et cohorte faible (80 patients): alidation DPO avant chaque export CHU);;;;
Destinataire 3;Partenaires institutionnels ou commerciaux;;;CHU partenaire (statistiques agrégées uniquement, sans données individuelles, convention de partage spécifique);;;;
Destinataire 4;Sous-traitants;;;Hébergement: contrat de sous-traitance (RGPD art. 28);;;;
;;;;;;;;
Mesures de sécurité;Type de mesure de sécurité;;;Précisions;;;;
Mesure de sécurité 1;Autres mesures (à préciser);;;Pseudonymisation obligatoire avant tout traitement (clé de correspondance conservée séparément, accès DPO uniquement). Aucune réidentification possible dans les flux partagés avec le CHU. Agrégat k=5 minimum, liste des combinaisons d'attributs autorisées, validation DPO avant chaque export CHU;;;;
Mesure de sécurité 2;Autres mesures (à préciser);;;"Revue semestrielle du risque de réidentification (taille de la cohorte : 80 patients, risque non négligeable —> risque de réidentification par agrégation est réel. La pseudonymisation simple peut ne pas suffire si les statistiques sont trop granulaires (ex. : ""1 patient homme, 67 ans, cardiologue X »))";;;;
Mesure de sécurité 3;Contrôle d'accès des utilisateurs;;;Accès aux données pseudonymisées limité à l'équipe Produit (RBAC);;;;
;;;;;;;;
Transferts hors UE;Destinataire;Pays;Type de Garanties;;Liens vers la documentation;;;
Organisme destinataire 1;Aucun;Sélectionnez un élément dans cette liste déroulante ►;Sélectionnez un élément dans cette liste déroulante ►;;"Aucun transfert hors UE. Tous les sous-traitants (hébergement: OVH) sont basés en France ou dans l’UE.""";;;
