D-010: Analyses d’audience du site web marketing;;;;;;;;
Fiche fictive: projet portfolio GRC (SantéConnect, PME e-santé fictive). Le niveau de granularité illustre une cible de maturité RGPD, non l'état courant du marché TPE/PME santé;;;;;;;;
Description  du traitement  ;;;;;;;;
Nom du traitement;Analyses d’audience du site web marketing;;;;;;;
N° / RÉF;D-010;;;;;;;
Date de création du traitement;01/02/2024;;;;;;;
Mise à jour du traitement;10/02/2024;;;;;;;
Date de validation du DPO;15/02/2024;;;;;;;
;;;;;;;;
Acteurs;Nom;Adresse;Code Postal;Ville;Pays;Téléphone;Adresse mél;
Responsable du traitement;DUPONT Martin (CEO);123 allée du bois;‘00000;Fictif;France;‘06060606;m.dupont@santeconnect.fr;
Délégué à la protection des données;PETIT Jeanne;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
Société du DPO (si celui-ci est externe);DPO As A Service;456 chemin Promenade;‘00000;Fictif;France;06070607;DPO-service@dpo-service.fr;
;;;;;;;;
Finalité(s) du traitement effectué;;;;;;;;
Finalité principale;Mesure de fréquentation et comportement des visiteurs du site marketing, sur consentement (RGPD art. 6.1.a);;;;;;;
;;;;;;;;
Catégories de données personnelles concernées;Description;;Durée de conservation;;Base légale;;Historique violation;
Données de connexion (adress IP, logs, etc.);Adresse IP, identifiant utilisateur, horodatage, action effectuée (logs restreint au site web marketing);;1 an;;RGPD art. 6.1.a;;Non;
;;;;;;;;
Catégories de personnes concernées;Description;;;Précisions;;;;
Catégorie de personnes 1;Prospects;;;Visiteurs du site Web Marketing;;;;
;;;;;;;;
Destinataires;Type de destinataire;;;Précisions;;;;
Destinataire 1;Service interne qui traite les données;;;Service Produit (analyse des usages);;;;
Destinataire 2;Sous-traitants;;;Analytics: Matomo;;;;
Destinataire 3;Sous-traitants;;;Hébergement: contrat de sous-traitance (RGPD art. 28);;;;
;;;;;;;;
Mesures de sécurité;Type de mesure de sécurité;;;Précisions;;;;
Mesure de sécurité 1;Autres mesures (à préciser);;;"Bannière + Plateforme de gestion des cookies (permettant à l’internaute de modifier à tout moment ses choix en matière de cookies ou de retirer son consentement)
";;;;
Mesure de sécurité 2;Contrôle des sous-traitants;;;Solution analytics auto-hébergée sans transfert hors UE (Matomo sur OVH), pas de cookie tiers;;;;
Mesure de sécurité 3;Mesures de traçabilité;;;Audits réguliers des mécanismes de recueil du consentement + CMP horodaté;;;;
;;;;;;;;
Transferts hors UE;Destinataire;Pays;Type de Garanties;;Liens vers la documentation;;;
Organisme destinataire 1;Aucun;Sélectionnez un élément dans cette liste déroulante ►;Sélectionnez un élément dans cette liste déroulante ►;;"Aucun transfert hors UE. Tous les sous-traitants (hébergement: OVH) sont basés en France ou dans l’UE.""";;;
